URL;Gibt es eine Kooperation? ;interessant?;Art des Inhalts;Art des Inhalts genau;Text des Links;Zusammenfassung;Zielgruppe;Firmensitz;Kostenmodell;Schwerpunkt;Technologie-Fokus;Sprache;Aktualität;DSGVO Text;DSGVO Ja/Nein;Provision;Wettbewerber;Relevanz KI-Coaching Bewertung;Relevanz KI-Coaching Begründung;Produktkategorie;Letzter Check;;;;
prompts!!;Wird manuell ausgefüllt. ;Wird manuell ausgefüllt. ;Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Versuche die Art des Inhalts zu definieren, also Produktseite oder Artikel oder allgemeine Information oder ähnliches.;"Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Versuche die Art des Inhalts zu definieren, und verwende ausschliesslich die Kategorien ""Produktseite"" oder ""Artikel"" oder ""Studie"" oder ""sonstiges""";Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Lese den Link in Spalte A und trage den Seitentitel (Page Title) der Webseite ein, also den Text der im Browser-Tab erscheint.;Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Erstelle eine Zusammenfassung des Inhalts der Webseite mit zwei bis drei klaren Sätzen.;Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Versuche die wahrscheinliche Zielgruppe des Produktes oder der Webseite zu ermitteln aufgrund der angebotenen Produkten und trage sie hier ein.;Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Recherchiere innerhalb der Webseite den wahrscheinlichen Firmensitz, die Stadt und das Land, und trage ihn hier ein.;Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Recherchiere den wahrscheinlichen Preis des Produktes oder der angebotenen Produkte. Wenn es um einen Artikel handelt, mache nichts.;Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Suche auf der website nach einem Schwerpunkt oder Themengebiet und trage dies mit maximal drei Schlagwörtern ein, mit Komma getrennt. Keine Nummerireung, alles in ein Feld.;Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Versuche in der website herauszubekommen, was der Technologiefokus dieser Seite ist und trage dies in Stichwörtern ein.;Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Recherchiere auf der website in welcher Sprache die Webseite gehalten ist.;Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Recherchiere auf der Website und versuche die Aktualität der Website zu bestimmen und trage das Datum ein.;Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Recherchiere auf der website ob das Angebot der DSGVO oder dem EU-Recht gerecht wird.;Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Recherchiere auf der website ob das Angebot der DSGVO oder dem EU-Recht gerecht wird und trage nur Ja, Nein oder unklar ein.;Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Recherchiere auf der website, ob für das angebotene Produkt eine Partnerprovision, ein Mitvertrieb oder ein Affiliate angeboten wird. Wenn nichts gefunden wird, trage nur Nein ein.;Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Recherchiere ob auf der Website nach Hinweise auf Alternativen. Recherchiere ob es Mitbewerber geben kann und liste diese auf. Trage dies mit maximal drei Schlagwörtern ein, mit Komma getrennt. Keine Nummerireung, alles in ein Feld.;Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Bewerte wie relevant diese Website für das Thema KI-Coaching ist und trage eine Zahl zwischen 1 und 5 ein, wobei 5 die höchste Relevanz ist.;Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Bewerte wie relevant diese Website für das Thema KI-Coaching ist und trage eine Begründung ein.;"Lese den Link in Spalte A in der gleichen Zeile und rufe ihn auf. Ordne den Inhalt einer der folgenden Kategorien zu und trage Begriffe wie diese ein: ""KI-Coaching"", ""Mentoring"", ""HR-Tool"", ""Therapie/Mental Health"", ""Allgemein-KI"", ""Artikel/Studie"", ""sonstiges""";Wird automatisch befüllt.;;;;
3sat.de/wissen/kann-ich-mit-ki/250827-coaching-kuenstliche-intelligenz-stimmungen-selbstreflexion-eric-mayer-testet-ki-als-coach-nano-102.html;;;Artikel + Video-Beitrag (NANO Doku);;KI als Coach: So denkt kein Mensch – und genau das hilft;"Der Beitrag zeigt KI-gestütztes Coaching/Training in VR (u.a. am DFKI): Eine Simulation erfasst biometrische Signale (z.B. Herzrate, Mimik/Körpersprache) und ein KI-Avatar gibt Feedback. Ziel ist Selbstreflexion und das Trainieren sozialer Kompetenzen in stressigen Situationen; KI ersetzt menschliches Coaching nicht, kann es aber unterstützen.";"Breites Publikum (TV-/Mediathek-Zuschauer), KI-Interessierte; eher informativ als Coaching-Käufer";3sat/ZDF (Deutschland), Sitz ZDF: Mainz;Kostenlos (öffentlich-rechtliche Mediathek/Artikel);KI im Coaching/Training, Selbstreflexion, Konflikt-/Kommunikationstraining;VR-Simulation, KI-Avatar/virtueller Coach, biometrische Signale (z.B. Herzrate, Mimik/Körpersprache);Deutsch;2025 (Aug.);"Datenschutzerklärung vorhanden (3sat/ZDF; Kontakt: datenschutz@zdf.de). Impressum vorhanden.";Ja;Keine (redaktioneller Beitrag);Ähnliche Medienbeiträge z.B. ARTE, ZDF, ARD, Spiegel, FAZ (KI/Coaching);Mittel; gute Kontext-/Markt-Info, aber kein KI-Coaching-Produkt/Anbieter;;;;;;
9spaces.de/lizenz-plaene;;;Pricing-Seite;;9 Spaces – Lizenzpläne;"Lizenz-/Pricing-Seite für 9 Spaces: Methodenplattform für Organisationsentwicklung (Workshop-Formate, Tutorials, Handouts, Templates; teils KI-Facilitator zur Methodensuche).";"Coaches, Berater, OE/HR, Scrum Master; Organisationen";Berlin, Deutschland (NN Publishing GmbH);"Abo: Solo ca. €299/Jahr (Rabatte möglich); Business/Enterprise Quote; 7 Tage Test";Organisationsentwicklung / New Work Tools;Methodenplattform (KI optional für Suche/Assistenz);Deutsch;nicht verfügbar;"Datenschutzerklärung vorhanden (DSGVO/TTDSG; Tools/Subprozessoren genannt).";Ja;Keine;Mural/Miro Templates, Management 3.0 Tools, Liberating Structures;Niedrig–Mittel;;;;;;;
adam-shilton.beehiiv.com/p/this-1-japanese-concept-saved-me-50k;;;Newsletter/Blogpost (Thought Leadership);;This 1 Japanese Concept Saved Me $50K (The Profitable Life);"Newsletter-Artikel von Adam Shilton über ein japanisches/Zen-Konzept als Denkmodell für Fokus/Produktivität, das ihm nach eigener Aussage half, ca. 50.000 USD zu sparen; inkl. Bezüge zu Business-Prozessen und teils AI-/Automation-Tools.";"Entrepreneurs, Solo-Selbstständige, Business-/Finance-Interessierte, Productivity-Community; Leser von AI-/Business-Newslettern";Adam Shilton (UK, Raum London);"Kostenloser Newsletter/Artikel; ggf. Upsells über bezahlte Inhalte/Services (Beratung/Kurse)";Produktivität, Mindset/mentale Modelle, Business-Effizienz, Kosten senken;"GenAI-Tools/AI-Agents, Automatisierung (z.B. ChatGPT/Claude; AI-Agent-Workflows)";Englisch;2026 (Jan.);"Privacy/Datenschutz über Beehiiv (Newsletter-Hosting; Abmelden möglich). Details i.d.R. via Beehiiv Privacy Policy/Seiten-Footer.";Ja;"Möglich (Tool-Empfehlungen/Affiliate-Links bei AI-Tools; im Newsletter-Kontext üblich)";"Ähnliche Newsletter/Creator zu AI/Business/Produktivität; AI-/Automation-Communities";Mittel bis hoch; kein KI-Coaching-Produkt, aber relevante Inhalte zu AI-Workflows/„AI als Coach“-Ansätzen und Produktivität;;;;;;
ai-and-u.com/ai-consulting-services;;;Service-/Angebotsseite;;AI Consulting Services | Human-Centered AI Coaching (AI & U);AI & U bietet menschenzentrierte KI-Beratung und Coaching (Mentoring, Workshops, Change-Programme) für Personen, Teams und Organisationen. Fokus: „Human-in-the-loop“, Adoption von GenAI, Skills/Will/Barrieren und produktive Zusammenarbeit Mensch+KI.;"Berufstätige, Führungskräfte, Teams und Organisationen, die GenAI einführen/skalieren; Karriere- und Transformationsfokus";"AI & U (Hinweis auf Niederländisch/Benelux; wahrscheinlich Niederlande)";"Dienstleistung (B2B/B2C). Preise nicht öffentlich; Pakete: 2h Session, mehrteilige Trajectories, Workshops, maßgeschneiderte Beratung";KI-Adoption/Change Management, Co-Intelligence, Training/Mentoring, Strategie & Umsetzung;GenAI-Einsatz im Arbeitsalltag, Human-centered AI, Governance/Ethik (tool-agnostisch);Englisch (Dutch/Niederländisch erwähnt);Ohne Datum (laufende Angebotsseite);"Hinweise zu sicherer/ethischer Nutzung; detaillierte Datenschutz-/Cookie-Infos typischerweise im Footer (Privacy Policy).";Ja;"Keine (keine Affiliate/Provision ersichtlich; primär Direktservice)";Boutique AI-Coaching/Change-Beratung, größere Beratungen (Accenture/BCG/McKinsey), AI-Enablement-Trainingsanbieter;Hoch; direkter KI-Coaching-/Consulting-Anbieter (Adoption, Training, Enablement);;;;;;
aicoach.chat/;;Ja;Produktseite;;AIcoach.chat;KI-Coaching-Plattform mit nicht-direktivem Coaching (reflektierende Fragen), personalisierten Sessions und (für Unternehmen) aggregierten/anonymisierten Insights.;"B2C Professionals; B2B HR/L&D";London, UK;"Freemium + Abo; Enterprise Quote";KI-Coaching;LLM-basiertes Coaching, Session Memory, anonymisierte Analytics;Englisch;nicht verfügbar;"GDPR-konform; Rechte auf Auskunft/Löschung; Organisationsdaten anonymisiert/aggregiert.";Ja;Affiliate/Provision nicht verfügbar;Sherlock Supercoach, PocketCoach.ai, Rocky.ai, CoachHub;Hoch;;;;;;;
aicoach.chat/book-demo/;;;Demo-/Sales-Seite;;AIcoach.chat – Book a Demo;KI-Coaching-Plattform mit nicht-direktivem Coaching (reflektierende Fragen statt Ratschläge), Session-Memory und (B2B) anonymisierten Insights/Reports.;"B2C Professionals; B2B HR/L&D (Coaching skalieren)";London, UK (AIcoach LTD);"Freemium + Abo (Token/Unlimited); Enterprise Quote";KI-Coaching (Work/Leadership/Personal Development);LLM (OpenAI API), personalisierte Sessions, anonymisierte Analytics;Englisch;nicht verfügbar;"GDPR-konform; Rechte auf Auskunft/Löschung; Organisations-Reports aggregiert/anonymisiert.";Ja;nicht verfügbar;CoachHub, BetterUp, Rocky.ai, PocketCoach.ai;Hoch;;;;;;;
aicoachinginstitute.com/;;;Anbieter-/Programmseite;;AI Coaching Institute;Weiterbildungs-/Zertifizierungsanbieter rund um KI im Coaching (Methoden, Tools, Anwendung in der Praxis).;Coaches, Trainer, Berater;Neu-Delhi (Indien) / UK-Partner genannt;Kursgebühren (teils Quote/Anfrage);KI-Coaching / Coaching-Ausbildung;KI-gestützte Coaching-Workflows/Methodik;Englisch;nicht verfügbar;"Privacy Policy vorhanden; EU/UK GDPR-Compliance wird genannt (Rechte wie Auskunft/Löschung erwähnt).";Ja;Affiliate/Provision nicht verfügbar;Coachvox, PocketConfidant, Ezra, CoachHub;Hoch;;;;;;;
aimarketwave.com/tools/active-listener-coach;;;Tool-Directory-Eintrag (Produktübersicht);;Active Listener Coach (AiMarketWave Listing);Directory-Eintrag zu einem KI-Tool, das aktives Zuhören trainiert (Übungen/Simulationen, Feedback zu Paraphrasieren, klärenden Fragen, Empathie). Dient als Kommunikations-/Soft-Skill-Coach.;Coaches, Führungskräfte/Manager, Sales/Customer Success, alle mit Bedarf an Kommunikations- und Soft-Skill-Training;"Anbieter des Tools im Listing nicht klar ausgewiesen; Plattform: AiMarketWave (globales Tool-Verzeichnis)";"Unklar im Listing; häufig Freemium/Subscription bei vergleichbaren Tools";Kommunikationstraining, aktives Zuhören, Empathie, Gesprächsführung;KI-Chat/Conversational AI, interaktive Übungen, Echtzeit-Feedback;Englisch;"Ohne Datum (Verzeichnis-Eintrag; laufend)";"Im Directory-Eintrag nicht im Detail; Datenschutzinfos typischerweise beim Tool-Anbieter (Link/Website erforderlich).";Unklar;"Möglich (Directory-Listings können Referral-/Affiliate-Links enthalten; nicht eindeutig ausgewiesen)";Andere Soft-Skill-/Communication-Coaches & Gesprächssimulations-Tools (z.B. KI-Rollenspiel/Trainingstools);Hoch; direktes KI-gestütztes Coaching/Training für eine Kernkompetenz im Coaching (aktives Zuhören);;;;;;
amazon.de/Deep-Care-Gesundheitscoach-Haltungskorrektur-KI-Technologie-White/dp/B0D7QLB8KF#averageCustomerReviewsAnchor;;;Produktseite (Hardware);;Amazon: Deep Care – Isa AI Gesundheitscoach;"Produktseite für „Isa“: KI-Health-/Ergonomie-Coach (Hardware mit 3D-Infrarot-Sensor) für Haltung, Bewegung, Hydration, ggf. Umweltsensorik; App/Übungscontent.";"B2C (Homeoffice); B2B (Employee Wellbeing)";"Ludwigsburg, Deutschland (Deep Care GmbH); Vertrieb via Amazon";Kauf (Amazon) + ggf. Abo/Pläne für Software/Programme;Workplace Wellbeing / Ergonomie;Sensorik + KI-Feedback (ohne Kamera/Mikrofon), lokale Verarbeitung/Anonymisierung;Deutsch;nicht verfügbar;"Amazon-Privacy gilt für Kauf; Hersteller betont: keine Kamera, lokale Verarbeitung, aggregierte/anonymisierte Auswertungen.";Ja;Affiliate möglich (Amazon PartnerNet) – nicht verfügbar;Ergonomie-Apps/Devices, Wellbeing-Plattformen;Niedrig–Mittel;;;;;;;
